fid,name,type,addr1,addr2,zip,lon,lan,tel,city,gugun,createDate,erdsgn,upDate
1,보령배드민턴구장,기타시설,충청남도 보령시 명천동 1089-1,,33481,126.6099131,36.34411406,041-930-3329,충청남도,보령시,20240521,Y,2025-05-30
2,구야리 977 (166-11 맞은편),간이운동장,경상북도 김천시 감문면 구야리 166-9,구야리 977(166-11 맞은편),39512,128.1588134,36.18807013,054-420-7928,경상북도,김천시,20130101,N,2025-06-24
3,차탄리 노인회관 뒤,간이운동장,경기도 연천군 연천읍 차현로 92,,11012,127.0768135,38.09940423,031-839-2701,경기도,연천군,20161231,N,2025-07-04
4,BMX경기장,기타시설,충청북도 제천시 송학면 도화리 992-6,,27128,128.1905552,37.1936637,043-641-5593,충청북도,제천시,20101001,N,2025-06-30
5,BMX경기장,기타시설,강원특별자치도 양양군 손양면 학포리 337,,25042,128.6558,38.06218373,033-670-2885,강원특별자치도,양양군,20151214,N,2025-06-29
6,DGB대구은행파크,축구장,대구광역시 북구 고성동3가 2,,41594,128.5874274,35.88167478,053-222-3600,대구광역시,,20190124,Y,2025-06-30
7,KBS연접공원,간이운동장,경상북도 안동시 태화동 666 KBS안동방송국,,36647,128.7106834,36.57009956,054-840-4841,경상북도,안동시,20100101,N,2025-05-02
8,MTV 체육시설(다목적코트63호),기타시설,경기도 시흥시 정왕동 2606-3,,15118,126.7042471,37.32333218,031-310-3159,경기도,시흥시,20190623,N,2025-05-01
9,X-게임장,기타시설,대구광역시 동구 율하동  1626,율하체육공원 내,41107,128.69284,35.85992363,053-662-2862,대구광역시,동구,20090101,N,2024-10-31
10,가경공원 게이트볼장,간이운동장,충청북도 청주시 흥덕구 서부로 1225 (가경동),,28382,127.4366391,36.61174579,043-201-1872,충청북도,청주시,20011010,N,2025-06-30
11,가경공원 미니골프장,간이운동장,충청북도 청주시 흥덕구 서부로 1225 (가경동),,28382,127.4366391,36.61174579,043-201-1872,충청북도,청주시,20011010,N,2025-06-30
12,가경동 홍골방죽 동네체육시설,간이운동장,충청북도 청주시 흥덕구 가경동 334-1 가경어린이집,홍골방죽,28382,127.4362153,36.61632654,043-201-7032,충청북도,청주시,19990101,N,2024-10-31
13,가곡 체육시설,간이운동장,경상남도 밀양시 상동면 가곡리 282-1,,50409,128.7821504,35.5328462,055-359-5780,경상남도,밀양시,20160101,N,2024-10-31
15,가곡1리 까치골 경로당,간이운동장,경상북도 봉화군 상운면 가곡리 1061 가곡1리까치골경로당,,36244,128.7467293,36.83906782,054-679-5913,경상북도,봉화군,20180101,N,2025-06-29
16,가곡1리 동네체육시설,간이운동장,충청북도 청주시 청원구 오창읍 가곡리 353-1 가곡리마을회관,,28131,127.4588178,36.72226884,043-201-8976,충청북도,청주시,20220405,N,2025-02-13
17,가곡1리 마을 체육시설,간이운동장,경상북도 안동시 풍천면 가곡리 395-4 가곡보건진료소,,36760,128.525007,36.57175853,054-840-4211,경상북도,안동시,20190423,N,2025-06-10
18,가곡2리 경로당 체육시설,간이운동장,경상북도 안동시 풍천면 가곡리 907-4,가곡2리경로당,36760,128.5232173,36.56467994,054-840-4211,경상북도,안동시,20220420,N,2025-06-10
19,가곡2리 동네체육시설,간이운동장,충청북도 청주시 청원구 오창읍 가곡리 405,가곡리 경로당,28131,127.4615775,36.72353848,043-201-8976,충청북도,청주시,20200618,N,2025-02-13
20,가곡2리 마을회관,간이운동장,경상북도 봉화군 상운면 가곡리 754-6 가곡2리새마을회관,,36244,128.7370815,36.85498011,054-679-5913,경상북도,봉화군,20170907,N,2025-06-29
21,가곡3리 마을쉼터,간이운동장,경상북도 봉화군 상운면 가곡리 216,,36244,128.7607475,36.85498861,054-679-5913,경상북도,봉화군,20160101,N,2025-06-29
22,가곡3통 체육시설,간이운동장,경상남도 밀양시 가곡동 728-407,,50442,128.7622765,35.47779191,055-359-5780,경상남도,밀양시,20150101,N,2025-05-13
23,가곡4통(멍에실) 체육시설,간이운동장,경상남도 밀양시 가곡동 277-4,가곡동 808,50446,128.7742529,35.47360726,055-359-5780,경상남도,밀양시,20150101,N,2025-05-13
24,가곡4통(천신궁) 체육시설,간이운동장,경상남도 밀양시 가곡동 324,가곡동 801,50446,128.7789728,35.47612033,055-359-5780,경상남도,밀양시,20100101,N,2025-05-13
25,가곡게이트볼장,전천후게이트볼장,경상남도 밀양시 가곡동 816-2,,50442,128.7621827,35.48123873,055-359-5780,경상남도,밀양시,20040101,N,2025-05-13
26,가곡농구장,기타시설,경상남도 밀양시 가곡동 816-2,,50442,128.7621827,35.48123873,055-359-5780,경상남도,밀양시,20220101,N,2024-10-31
27,가곡리 게이트볼장,간이운동장,경상북도 상주시 외서면 가곡리 680-4,가곡리680,37136,128.1067043,36.47855785,054-537-8413,경상북도,상주시,20170101,N,2025-06-27
28,가곡리 생활체육시설,기타시설,경기도 남양주시 화도읍 가곡리 277-7,,12032,127.3066994,37.68330625,031-590-4854,경기도,남양주시,20090813,N,2025-07-09
29,가곡리 소공원 내,간이운동장,경상북도 봉화군 상운면 가곡리 1193-10,,36244,128.7548476,36.83172952,054-679-6133,경상북도,봉화군,20160101,N,2024-10-31
30,가곡리 체육시설,간이운동장,충청북도 청주시 청원구 오창읍 가곡리 233,,28131,127.4571065,36.72198112,043-201-8976,충청북도,청주시,20191217,N,2025-02-13
31,가곡리(머티)동네체육시설,간이운동장,경상북도 상주시 외서면 가곡리 551-8,가곡리551-8,37135,128.0929176,36.48385831,054-537-8413,경상북도,상주시,20180702,N,2025-06-27
32,가곡리(버름배미)동네체육시설,간이운동장,경상북도 상주시 외서면 가곡리 57 외서면보건지소,가곡리 57-5,37136,128.1077827,36.48068573,054-537-8413,경상북도,상주시,20181212,N,2025-06-27
33,가곡리(오가실) 동네체육시설,간이운동장,경상북도 상주시 외서면 가곡리 348,,37135,128.0916362,36.47525395,054-537-8914,경상북도,상주시,20250228,N,2025-06-27
34,가곡야구장,야구장,경상남도 밀양시 가곡동 266-6,,50442,128.7768689,35.47058624,,경상남도,밀양시,20120201,N,2025-05-26
35,가곡전천후게이트볼장,전천후게이트볼장,충청북도 단양군 가곡면 남한강로 518,,27021,128.384158,37.02573719,043-420-3105,충청북도,단양군,20070601,N,2025-07-01
36,가구1리경로당,간이운동장,경상북도 안동시 와룡면 가구리 597-1,,36611,128.7758893,36.61621137,054-856-1534,경상북도,안동시,20170101,N,2025-06-18
37,가구2리 경로당,간이운동장,경상북도 안동시 와룡면 가구리 421 가구2리노인정,,36611,128.7822258,36.61646633,054-856-2661,경상북도,안동시,20160101,N,2025-04-14
