fid,name,type,zip,addr1,addr2,lon,lat,tel,city,gugun,date
1,보령배드민턴구장,기타시설,33481,충청남도 보령시 명천동 1089-1,,126.6099131,36.34411406,041-930-3329,충청남도,보령시,20240521
2,(덕전3리) 세송,간이운동장,39569,경상북도 김천시 대항면 덕전리 1060-1,맞은편,128.0409498,36.12532065,054-421-2165,경상북도,김천시,20130101
3,(박리마을) 신왕1리,간이운동장,,경북 김천시 조마면 신왕리 1257-1,,128.1423419,36.01924672,054-420-7924,경상북도,김천시,20190101
4,(자산경로당),간이운동장,39588,경상북도 김천시 성내동 161-17,자산경로당,128.1220924,36.1207712,054-421-2318,경상북도,김천시,20100101
5,(합천마을) 향천2리,간이운동장,,경북 김천시 대항면 향천리 838,향천2리 회관 옆,128.0221615,36.12495428,054-421-2165,경상북도,김천시,20190101
6,구야리 977 (166-11 맞은편),간이운동장,39512,경상북도 김천시 감문면 구야리 166-9,구야리 977(166-11 맞은편),128.1588134,36.18807013,054-420-7928,경상북도,김천시,20130101
7,국당마을 소공원,간이운동장,,경상북도 경주시 황남동 483-3,,129.2105285,35.82704596,054-779-8398,경상북도,경주시,20160929
8,금서면 매촌마을 운동기구-3,간이운동장,,경남 산청군 금서면 매촌리 710-4,,127.8627388,35.41751469,055-970-8205,경상남도,산청군,20200101
9,수도사업소 입구,간이운동장,760901,경북 안동시 용상동 440-9,,128.7675696,36.55215363,054-840-4781,경상북도,안동시,20170101
10,어룡동 소촌마을 동네체육시설,간이운동장,,광주광역시 광산구 소촌동 461-3,,126.7944614,35.14543988,062-960-9923,광주광역시,광산구,20160119
11,(갈지리)삼성마을,간이운동장,38360,경상북도 청도군 금천면 갈지리 771,,128.8585447,35.74542597,054-370-2591,경상북도,청도군,19000101
12,(게이트볼장-06) 어곡주민공원,전천후게이트볼장,50590,경상남도 양산시 어곡동 348,,129.0269939,35.37771496,055-392-3405,경상남도,양산시,20080101
13,(게이트볼장-08) 서창게이트볼장,전천후게이트볼장,,경남 양산시 삼호동 823-2,,129.1820248,35.41149933,055-392-6184,경상남도,양산시,20220228
14,(게이트볼장-17) 새터어린이공원,전천후게이트볼장,50603,경상남도 양산시 물금읍 가촌리 554-5,,128.9918013,35.32028649,055-392-7015,경상남도,양산시,20140101
15,(공원 시설- 동부마을 공원)미상-하북) 하북 순지 동네체육시설(7),간이운동장,50503,경상남도 양산시 하북면 순지리 826-1,,129.0881099,35.4935491,055-392-7254,경상남도,양산시,19000101
16,(공원-85) 시설명 미상,간이운동장,,경남 양산시 어곡동 909,,129.0239628,35.37838767,055-392-3183,경상남도,양산시,19000101
17,(구)공무원교육원,간이운동장,,경상북도 경주시 감포읍,,129.498385,35.799514,051-610-4125,경상북도,경주시,20161231
18,(구)다례마을 체육시설,간이운동장,50407,경상남도 밀양시 무안면 가례리 986,,128.5978222,35.48879162,055-359-5780,경상남도,밀양시,20031024
19,(구)모로마을 체육시설,간이운동장,50408,경상남도 밀양시 무안면 모로리 480-2 모로마을회관,,128.6455639,35.46239456,055-359-5780,경상남도,밀양시,20110421
20,(구)백성초 내 체육시설(야구장),야구장,17580,경기도 안성시 금산동 119,,127.266622,37.01117133,031-678-6868,경기도,안성시,20200101
21,(구)생연배수지 동네체육시설,간이운동장,11314,경기도 동두천시 생연동 산41-13,(구)생연배수지 (생연동 산 44-6),127.062039,37.90585739,031-860-2144,경기도,동두천시,20160816
22,(구)영호초등학교,간이운동장,36707,경상북도 안동시 옥야동 328-2,,128.7237481,36.56259767,054-840-4811,경상북도,안동시,20170101
23,(구)태화사옆 체육시설,간이운동장,,경상남도 통영시 명정동,,128.415137,34.847189,052-290-3672,경상남도,통영시,20161231
24,(국궁장-02) 회야정,국궁장,50541,경상남도 양산시 평산동 283 웅상체육공원,,129.1428238,35.37694319,055-392-6182,경상남도,양산시,19000101
25,(금포마을),간이운동장,,경북 김천시 증산면 동안리 52-2,,128.0265448,35.91065349,054-421-2302,경상북도,김천시,20190101
26,(김전1리)영골숲,간이운동장,38360,경상북도 청도군 금천면 김전리 15 농협중앙회지원시설,,128.8670124,35.73333516,054-370-2591,경상북도,청도군,20100301
27,(김전2리)공원,간이운동장,714871,경북 청도군 금천면 김전리 495-2,,128.851824,35.73416109,054-370-2591,경상북도,청도군,19000101
28,(김전2리)정자옆 김전리 580,간이운동장,,경북 청도군 금천면 김전리 580,,128.8467405,35.73548378,054-370-6739,경상북도,청도군,20230323
29,(덕계동-01)동일2차 주민쉼터,간이운동장,50555,경상남도 양산시 덕계동 1103 동일스위트2차아파트,,129.1477901,35.3732825,055-392-6861,경상남도,양산시,20210506
30,(덕계동-02)외산마을회관앞,간이운동장,50539,경상남도 양산시 덕계동 84-3,,129.1625829,35.36907454,055-392-6861,경상남도,양산시,20200417
31,(덕계동-1)동일2차,간이운동장,50555,경상남도 양산시 덕계동 1103 동일스위트2차아파트,,129.1477901,35.3732825,055-392-6861,경상남도,양산시,20210506
32,(동곡1리)금빛센터,간이운동장,38362,경상북도 청도군 금천면 동곡리 721 금빛센터,,128.8898833,35.69188693,054-370-2591,경상북도,청도군,19000101
33,(동곡1리)동곡리 1119-20,간이운동장,38362,경상북도 청도군 금천면 동곡리 1119-20,,128.8964019,35.68334186,054-370-2590,경상북도,청도군,20210325
34,(동곡1리)새들보체육공원,간이운동장,38362,경상북도 청도군 금천면 동곡리 1064-25,,128.8982244,35.68704576,054-370-2590,경상북도,청도군,19000101
35,(동곡1리)아랫곡,간이운동장,714872,경북 청도군 금천면 동곡리 1119-40,,128.8895134,35.6902527,054-370-2591,경상북도,청도군,20120612
36,(동곡1리)한마음공원,간이운동장,714872,경북 청도군 금천면 동곡리 644-1,동곡1리 여자경로당 옆,128.887967,35.69400401,054-370-2591,경상북도,청도군,20041101
37,(동곡2리)경로회관 동곡리 242,간이운동장,38362,경상북도 청도군 금천면 동곡리 242 동곡리경로회관,,128.8866479,35.70212317,054-370-6739,경상북도,청도군,20230323
38,(미정-물금) 가촌마을 동네체육시설,간이운동장,50603,경상남도 양산시 물금읍 가촌리 554-5,,128.9918013,35.32028649,055-392-7016,경상남도,양산시,19000101
39,(박곡리)마을창고 옆,간이운동장,38364,경상북도 청도군 금천면 박곡리 1009-3,,128.9166089,35.66817572,054-370-2591,경상북도,청도군,19000101
40,(박곡리)박곡리962,간이운동장,,경북 청도군 금천면 박곡리 962,,128.9203496,35.66805662,054-370-2591,경상북도,청도군,19000101
41,(사전1리)공원,간이운동장,714871,경북 청도군 금천면 사전리 266-2,,128.8872275,35.71361679,054-370-2591,경상북도,청도군,20190528
42,(사전1리)공원,간이운동장,714871,경북 청도군 금천면 사전리 285-4,,128.8858827,35.71337836,054-370-2591,경상북도,청도군,20190528
43,(사전2리)학동마을,간이운동장,714871,경북 청도군 금천면 사전리 875-1,,128.8816199,35.72831719,054-370-2591,경상북도,청도군,20140501
44,(소천1리)마을정자 소천리 1340-1,간이운동장,,경북 청도군 금천면 소천리 1340-1,,128.9027594,35.74351995,054-370-6739,경상북도,청도군,20230323
45,(소천3리)마을회관,간이운동장,38361,경상북도 청도군 금천면 소천리 1630 소천3리마을회관,,128.8955091,35.7533015,054-370-2591,경상북도,청도군,20190528
46,(수도마을회관),간이운동장,39695,경상북도 김천시 증산면 수도리 383 수로마을회관,,128.0054702,35.85383431,054-421-2302,경상북도,김천시,20190101
47,(수영장-02) 양산주민편익시설,수영장,50635,경상남도 양산시 동면 석산리 652 주민편익시설,,129.0276,35.32783032,055-392-3403,경상남도,양산시,19000101
48,(수영장-03) 웅상문화체육센터,수영장,50519,경상남도 양산시 주진동 72-6,,129.155436,35.39582806,055-392-3403,경상남도,양산시,19000101
49,(수영장-04) 양산반다비체육센터,수영장,50613,경상남도 양산시 물금읍 가촌리 1312-4 반다비 체육센터,,129.0028712,35.32300833,054-392-3403,경상남도,양산시,19000101
50,(수영장-05) 천성산국민체육센터(양산 생활밀착형 국민체육센터),수영장,50561,경상남도 양산시 상북면 석계리 35-1,,129.0661239,35.41868458,055-392-3403,경상남도,양산시,20220615
51,(수영장-06)쌍벽루국민체육센터,수영장,50619,경상남도 양산시 북부동 533 양산종합운동장,쌍벽루국민체육센터,129.0354802,35.34851958,054-379-8444,경상남도,양산시,20240301
52,(신지1리)경로당 선암로 468,간이운동장,38364,경상북도 청도군 금천면 신지리 255-1,,128.8958935,35.67793935,054-370-2591,경상북도,청도군,20200524
53,(신지2리)동네체육시설,간이운동장,38364,경상북도 청도군 금천면 신지리 1637-21,,128.8874193,35.66794488,054-370-2591,경상북도,청도군,19000101
54,(신지3리)건강증진센터,간이운동장,714872,경북 청도군 금천면 신지리 1570-2,,128.9046126,35.67285372,054-370-2591,경상북도,청도군,20160301
55,(신지3리)길부지,간이운동장,714872,경북 청도군 금천면 신지리 1427,,128.9027096,35.67382098,054-370-2591,경상북도,청도군,19000101
56,(신지3리)마을정자,간이운동장,,경북 청도군 금천면 신지리 1593,마을정자 옆,128.9057763,35.67134187,054-370-2591,경상북도,청도군,19000101
57,(신지4리)하수종말처리장,간이운동장,38362,경상북도 청도군 금천면 신지리 1637-41,,128.8886724,35.67913522,054-370-2591,경상북도,청도군,19000101
58,(실내체육관-01)양산실내체육관,구기체육관,50619,경상남도 양산시 북부동 533 양산종합운동장,,129.0354974,35.34856074,055-379-8534,경상남도,양산시,20000101
59,(실내체육관-02) 양산시국민체육센터,생활체육관,50601,경상남도 양산시 물금읍 가촌리 990 국민체육센터,경남 양산시 물금읍 가촌리 990번지 일원,128.9950691,35.32652607,055-379-8650,경상남도,양산시,20101216
60,(실내체육관-04) 더힘찬체육관,생활체육관,50601,경상남도 양산시 물금읍 가촌리 990 국민체육센터,더힘찬체육관,128.9952766,35.32651336,055-379-8634,경상남도,양산시,20200122
61,(실내체육관-08) 양산시반다비체육센터(고 양산반다비체육센터),생활체육관,50613,경상남도 양산시 물금읍 가촌리 1312-4 반다비 체육센터,,129.0027247,35.32325263,055-379-8410,경상남도,양산시,20220504
62,(야구장-01) 강민호야구장,야구장,,경남 양산시 물금읍 물금리 209-3,,128.9881945,35.29780968,055-392-3404,경상남도,양산시,19000101
63,(야구장-07) 삽량체육공원 야구장,야구장,50644,경상남도 양산시 동면 내송리 산70-8,삽량체육공원 야구장,129.0589632,35.32570243,055-392-7104,경상남도,양산시,20201201
64,(오봉1리)마을정자 오봉리 301-7,간이운동장,,경북 청도군 금천면 오봉리 301-7,오봉리 301-7 정자옆,128.8988052,35.6617509,054-370-2591,경상북도,청도군,20200524
65,(오봉1리)마을정자 오봉리 401,간이운동장,,경북 청도군 금천면 오봉리 401,,128.9035305,35.66083498,054-370-2590,경상북도,청도군,20210325
66,(오봉2리)경로회관 오봉길 152,간이운동장,38364,경상북도 청도군 금천면 오봉리 1010-1 오봉경로회관,,128.9155029,35.65590562,054-370-2591,경상북도,청도군,20160720
67,(음봉면) 덕지1리 마을회관,간이운동장,31453,충청남도 아산시 음봉면 덕지리 296-4 덕지리마을회관,,127.0695884,36.83280274,041-537-3105,충청남도,아산시,20220630
